---------This is individual one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
r_Cd	0.472222222222	-0.0544835214264	0b	deg
r_pMTG	0.472222222222	-0.05019579442	2b	deg
vmPFC	0.472222222222	-0.0426913561966	0b	deg
l_SMA	0.472222222222	-0.0404139908271	0b	deg
l_MFG	0.472222222222	0.0328574723158	2b	deg
r_MFG	0.472222222222	0.0321129350526	0b	deg
l_preCG	0.472222222222	0.0276030653667	0b	deg
l_Cd	0.472222222222	-0.0264774805953	2b	deg
r_pMTG	0.472222222222	0.0246636192964	0b	deg
l_postCG	0.472222222222	-0.0245707225533	0b	deg
l_SPL	0.472222222222	0.0234323447275	0b	deg
l_Prec	0.472222222222	-0.0231617136254	2b	deg
l_Prec	0.472222222222	0.0207444972512	0b	deg
r_STG	0.472222222222	0.0200126782579	0b	deg
r_STG	0.472222222222	0.0199807160158	2b	deg
l_MPFC	0.472222222222	0.0198418089676	0b	deg
l_IPS	0.472222222222	-0.0196028991972	2b	deg
l_MFG	0.472222222222	-0.0195544706561	0b	deg
r_MCC	0.472222222222	0.0182689483105	0b	deg
r_MCC	0.472222222222	0.0180377488546	2b	deg
r_Ins	0.472222222222	-0.0170634228783	2b	deg
l_postCG	0.472222222222	0.0166146326789	2b	deg
r_postCG	0.472222222222	-0.0162729888025	2b	deg
r_postCG	0.472222222222	0.0158063526129	0b	deg
L_ACC1	0.472222222222	0.0147713143632	0b	deg
L_ACC1	0.472222222222	-0.0129051461711	2b	deg
r_Cd	0.472222222222	0.0125280938899	2b	deg
l_MCC	0.472222222222	-0.0123117980443	2b	deg
r_SMA	0.472222222222	0.0122341855269	2b	deg
l_Cd	0.472222222222	0.0120673618072	0b	deg
r_preCG	0.472222222222	0.0115680858755	2b	deg
r_preCG	0.472222222222	0.0114035964962	0b	deg
L_ACC2	0.472222222222	0.0103434778014	0b	deg
r_MFG	0.472222222222	0.0101127996053	2b	deg
vmPFC	0.472222222222	0.00949327206893	2b	deg
L_ACC2	0.472222222222	-0.00782984162091	2b	deg
l_SMA	0.472222222222	0.00526375033994	2b	deg
l_MPFC	0.472222222222	0.00456254058555	2b	deg
l_IPS	0.472222222222	0.00439574628238	0b	deg
r_SMA	0.472222222222	0.0040346185383	0b	deg
l_preCG	0.472222222222	0.00282980750792	2b	deg
r_Ins	0.472222222222	0.00205570531927	0b	deg
l_SPL	0.472222222222	-0.00136892027262	2b	deg
l_MCC	0.472222222222	-0.000712246421222	0b	deg
---------This is combined one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
r_Cd	0.825814536322	-0.112862157544	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	0b	deg
r_pMTG	0.825814536322	-0.208770159794	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	2b	deg
vmPFC	0.825814536322	0.0140599543446	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	0b	deg
l_SMA	0.825814536322	-0.169063444391	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	0b	deg
l_MFG	0.825814536322	0.0106711251783	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	2b	deg
r_MFG	0.825814536322	0.119937096963	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	0b	deg
l_preCG	0.825814536322	0.0885409182604	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	0b	deg
l_Cd	0.825814536322	0.00249089885528	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	2b	deg
r_pMTG	0.825814536322	0.0672822277112	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	0b	deg
l_postCG	0.825814536322	-0.0978504413684	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	0b	deg
l_SPL	0.825814536322	0.0207742105419	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	0b	deg
l_Prec	0.825814536322	-0.0465366219288	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	2b	deg
l_Prec	0.825814536322	-0.00910280414998	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	0b	deg
r_STG	0.825814536322	0.0871366666432	[[15  2]
 [ 3 16]]	4.89296355018e-06	0.825814536322	0b	deg
