---------This is individual one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
vmPFC	0.472222222222	-0.536149715336	2b	deg
r_SMA	0.472222222222	-0.495535444747	2b	deg
r_preCG	0.472222222222	0.479126610027	0b	deg
l_Prec	0.472222222222	0.475114298489	0b	deg
l_MFG	0.472222222222	0.427079741079	2b	deg
r_MFG	0.472222222222	0.393450113243	0b	deg
r_postCG	0.472222222222	-0.391471997507	2b	deg
r_STG	0.472222222222	0.332900286535	0b	deg
l_MPFC	0.472222222222	-0.309066249972	0b	deg
L_ACC2	0.472222222222	0.288117055632	0b	deg
l_MFG	0.472222222222	-0.254198405701	0b	deg
r_MCC	0.472222222222	0.246370910027	2b	deg
l_MCC	0.472222222222	-0.22418030598	0b	deg
l_Cd	0.472222222222	0.222850396623	2b	deg
l_preCG	0.472222222222	0.200342679463	2b	deg
L_ACC1	0.472222222222	-0.194896780146	0b	deg
L_ACC1	0.472222222222	-0.19315565614	2b	deg
r_pMTG	0.472222222222	-0.17563856233	2b	deg
L_ACC2	0.472222222222	-0.168274663831	2b	deg
l_postCG	0.472222222222	-0.167710532441	2b	deg
l_IPS	0.472222222222	0.161585065187	2b	deg
r_postCG	0.472222222222	0.161475792728	0b	deg
l_postCG	0.472222222222	0.158407489493	0b	deg
l_SPL	0.472222222222	-0.157328799198	2b	deg
r_preCG	0.472222222222	0.155538092495	2b	deg
l_SPL	0.472222222222	-0.14580665824	0b	deg
r_SMA	0.472222222222	0.143343673612	0b	deg
r_Cd	0.472222222222	-0.129581205333	0b	deg
r_Ins	0.472222222222	-0.125740043922	0b	deg
r_Cd	0.472222222222	-0.121108955181	2b	deg
l_MCC	0.472222222222	-0.115426318458	2b	deg
vmPFC	0.472222222222	-0.108828182212	0b	deg
l_SMA	0.472222222222	-0.10845769982	0b	deg
l_IPS	0.472222222222	-0.108182820384	0b	deg
r_pMTG	0.472222222222	0.100745237439	0b	deg
l_SMA	0.472222222222	-0.0924304334717	2b	deg
l_Cd	0.472222222222	0.0903957558965	0b	deg
r_MCC	0.472222222222	0.0815971666316	0b	deg
l_preCG	0.472222222222	0.072862884463	0b	deg
r_MFG	0.472222222222	-0.071078581721	2b	deg
r_STG	0.472222222222	0.0539254431213	2b	deg
r_Ins	0.472222222222	-0.0482093068208	2b	deg
l_MPFC	0.472222222222	-0.0157876273005	2b	deg
l_Prec	0.472222222222	0.00339285088407	2b	deg
---------This is combined one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
vmPFC	0.95047349659	-1.10328917664	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	2b	deg
r_SMA	0.95047349659	-0.395894415086	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	2b	deg
r_preCG	0.95047349659	0.5696562907	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	0b	deg
l_Prec	0.95047349659	0.56044792902	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	0b	deg
l_MFG	0.95047349659	0.436982898606	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	2b	deg
r_MFG	0.95047349659	0.562086316682	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	0b	deg
r_postCG	0.95047349659	-0.352848188986	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	2b	deg
r_STG	0.95047349659	0.277653262733	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	0b	deg
l_MPFC	0.95047349659	-0.286545012437	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	0b	deg
L_ACC2	0.95047349659	0.254208268611	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	0b	deg
l_MFG	0.95047349659	-0.301223917046	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	0b	deg
r_MCC	0.95047349659	0.252425659168	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	2b	deg
l_MCC	0.95047349659	-0.481132170356	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	0b	deg
l_Cd	0.95047349659	0.592150636341	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	2b	deg
l_preCG	0.95047349659	0.310616880318	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	2b	deg
L_ACC1	0.95047349659	-0.142725477355	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	0b	deg
L_ACC1	0.95047349659	0.175422085264	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	2b	deg
r_pMTG	0.95047349659	-0.200203276919	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	2b	deg
L_ACC2	0.95047349659	-0.335879713902	[[18  0]
 [ 0 18]]	2.67282878618e-11	0.95047349659	2b	deg
