---------This is individual one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
r_MFG	0.694444444444	0.196218097809	_	deg
r_postCG	0.694444444444	-0.111974791269	_	deg
r_Cd	0.694444444444	0.106753284337	_	deg
r_STG	0.694444444444	0.105072969867	_	deg
r_MCC	0.694444444444	0.0879645458973	_	deg
r_pMTG	0.694444444444	0.08778179376	_	deg
l_preCG	0.694444444444	-0.0647359317253	_	deg
l_SMA	0.694444444444	0.0374952133234	_	deg
r_SMA	0.694444444444	-0.0346758245881	_	deg
r_Ins	0.694444444444	0.0238327094637	_	deg
l_postCG	0.694444444444	-0.0209982757203	_	deg
l_MCC	0.694444444444	-0.0197374833296	_	deg
r_preCG	0.694444444444	-0.0189545804087	_	deg
L_ACC2	0.694444444444	0.0176197448728	_	deg
l_MPFC	0.694444444444	0.0173106144114	_	deg
l_MFG	0.694444444444	-0.0164672010485	_	deg
l_Prec	0.694444444444	0.0150227776006	_	deg
vmPFC	0.694444444444	0.0140818564558	_	deg
l_Cd	0.694444444444	-0.0137360993835	_	deg
l_IPS	0.694444444444	0.0111913177689	_	deg
l_SPL	0.694444444444	-0.00835439147502	_	deg
L_ACC1	0.694444444444	0.00446455942813	_	deg
---------This is combined one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
r_MFG	0.875938507472	0.319533209081	[[17  2]
 [ 1 16]]	9.42667005249e-08	0.875938507472	_	deg
r_postCG	0.875938507472	-0.202188496798	[[17  2]
 [ 1 16]]	9.42667005249e-08	0.875938507472	_	deg
r_Cd	0.875938507472	0.118666444596	[[17  2]
 [ 1 16]]	9.42667005249e-08	0.875938507472	_	deg
r_STG	0.875938507472	0.122471128169	[[17  2]
 [ 1 16]]	9.42667005249e-08	0.875938507472	_	deg
r_MCC	0.875938507472	0.213222196083	[[17  2]
 [ 1 16]]	9.42667005249e-08	0.875938507472	_	deg
r_pMTG	0.875938507472	0.235153966944	[[17  2]
 [ 1 16]]	9.42667005249e-08	0.875938507472	_	deg
l_preCG	0.875938507472	-0.158968033097	[[17  2]
 [ 1 16]]	9.42667005249e-08	0.875938507472	_	deg
l_SMA	0.875938507472	-0.0103569378838	[[17  2]
 [ 1 16]]	9.42667005249e-08	0.875938507472	_	deg
r_SMA	0.875938507472	-0.0586973168946	[[17  2]
 [ 1 16]]	9.42667005249e-08	0.875938507472	_	deg
