---------This is individual one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
l_MPFC	0.472222222222	-0.799431006232	_	deg
r_MCC	0.472222222222	0.766725086533	_	deg
l_Prec	0.472222222222	0.742436766396	_	deg
r_Ins	0.472222222222	0.740826043883	_	deg
l_postCG	0.472222222222	-0.629253883011	_	deg
L_ACC1	0.472222222222	0.617259131486	_	deg
l_Cd	0.472222222222	-0.616082237113	_	deg
l_MFG	0.472222222222	-0.614723790894	_	deg
r_preCG	0.472222222222	0.590102307333	_	deg
vmPFC	0.472222222222	0.451079436464	_	deg
r_SMA	0.472222222222	-0.403639154264	_	deg
r_pMTG	0.472222222222	0.345648594878	_	deg
l_preCG	0.472222222222	0.341709732139	_	deg
r_Cd	0.472222222222	0.340078131533	_	deg
l_IPS	0.472222222222	0.264248896773	_	deg
l_SMA	0.472222222222	-0.187863225941	_	deg
L_ACC2	0.472222222222	0.150712834177	_	deg
r_postCG	0.472222222222	-0.109222161276	_	deg
r_STG	0.472222222222	-0.108935037979	_	deg
l_MCC	0.472222222222	-0.0868621645102	_	deg
l_SPL	0.472222222222	-0.0867365582669	_	deg
r_MFG	0.472222222222	0.0110169009479	_	deg
---------This is combined one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
l_MPFC	0.760416666648	-0.392714399072	[[16  6]
 [ 2 12]]	0.000307520173113	0.760416666648	_	deg
r_MCC	0.760416666648	0.475188541334	[[16  6]
 [ 2 12]]	0.000307520173113	0.760416666648	_	deg
l_Prec	0.760416666648	0.542285716762	[[16  6]
 [ 2 12]]	0.000307520173113	0.760416666648	_	deg
r_Ins	0.760416666648	0.433573346162	[[16  6]
 [ 2 12]]	0.000307520173113	0.760416666648	_	deg
l_postCG	0.760416666648	-0.671926428218	[[16  6]
 [ 2 12]]	0.000307520173113	0.760416666648	_	deg
L_ACC1	0.760416666648	0.608399977313	[[16  6]
 [ 2 12]]	0.000307520173113	0.760416666648	_	deg
l_Cd	0.760416666648	0.0542303397389	[[16  6]
 [ 2 12]]	0.000307520173113	0.760416666648	_	deg
l_MFG	0.760416666648	-0.500274944331	[[16  6]
 [ 2 12]]	0.000307520173113	0.760416666648	_	deg
