---------This is individual one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
vmPFC_0b	0.666666666667	-1.02950059392	0b	_
r_MFG_2b	0.666666666667	0.863800243871	2b	_
r_STG_0b	0.666666666667	0.855847278969	0b	_
r_postCG_2b	0.666666666667	0.75701570081	2b	_
l_SPL_2b	0.666666666667	0.703935273557	2b	_
l_postCG_2b	0.666666666667	0.62681064004	2b	_
l_Cd_0b	0.666666666667	0.577777715113	0b	_
L_ACC1_0b	0.666666666667	-0.54904574475	0b	_
r_preCG_0b	0.666666666667	-0.524280572184	0b	_
r_Ins_0b	0.666666666667	-0.444793024497	0b	_
r_SMA_2b	0.666666666667	0.425676696394	2b	_
r_pMTG_2b	0.666666666667	0.412338901633	2b	_
l_postCG_0b	0.666666666667	-0.393785948216	0b	_
l_MFG_0b	0.666666666667	0.387118736229	0b	_
l_Prec_2b	0.666666666667	-0.367672104654	2b	_
L_ACC1_2b	0.666666666667	0.328826026573	2b	_
L_ACC2_2b	0.666666666667	-0.282181489664	2b	_
r_Cd_0b	0.666666666667	-0.232615035444	0b	_
vmPFC_2b	0.666666666667	-0.228208829942	2b	_
l_MPFC_2b	0.666666666667	-0.22065916768	2b	_
r_postCG_0b	0.666666666667	-0.210806277524	0b	_
r_SMA_0b	0.666666666667	-0.204057379701	0b	_
l_preCG_2b	0.666666666667	-0.185595793754	2b	_
r_MCC_2b	0.666666666667	0.170067226238	2b	_
l_MPFC_0b	0.666666666667	-0.168473760485	0b	_
l_IPS_0b	0.666666666667	-0.167204624503	0b	_
r_MFG_0b	0.666666666667	-0.164915322079	0b	_
l_MFG_2b	0.666666666667	0.154979537768	2b	_
r_pMTG_0b	0.666666666667	-0.144011418671	0b	_
l_IPS_2b	0.666666666667	0.140676717243	2b	_
l_MCC_0b	0.666666666667	-0.116974569152	0b	_
l_Prec_0b	0.666666666667	0.116944969177	0b	_
l_SPL_0b	0.666666666667	-0.110125562631	0b	_
l_SMA_0b	0.666666666667	0.0984463799166	0b	_
r_STG_2b	0.666666666667	0.0961157047386	2b	_
r_Ins_2b	0.666666666667	-0.0878065781316	2b	_
r_Cd_2b	0.666666666667	-0.0877990991901	2b	_
l_SMA_2b	0.666666666667	-0.0789087944061	2b	_
l_MCC_2b	0.666666666667	0.0652369086803	2b	_
l_Cd_2b	0.666666666667	-0.063637456793	2b	_
L_ACC2_0b	0.666666666667	0.0540664569956	0b	_
r_MCC_0b	0.666666666667	-0.0481402329893	0b	_
l_preCG_0b	0.666666666667	0.0417861369364	0b	_
r_preCG_2b	0.666666666667	-0.0216912324336	2b	_
---------This is combined one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
vmPFC	0.875938507472	-1.17482018377	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	0b	_
r_MFG	0.875938507472	1.12796233424	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	2b	_
r_STG	0.875938507472	0.602006642494	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	0b	_
r_postCG	0.875938507472	0.688504798231	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	2b	_
l_SPL	0.875938507472	0.631659997281	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	2b	_
l_postCG	0.875938507472	0.677780444044	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	2b	_
l_Cd	0.875938507472	0.326513619145	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	0b	_
L_ACC1	0.875938507472	-0.52499900348	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	0b	_
r_preCG	0.875938507472	-0.732853034837	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	0b	_
r_Ins	0.875938507472	-0.679112115325	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	0b	_
r_SMA	0.875938507472	0.445303964996	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	2b	_
r_pMTG	0.875938507472	0.598189745232	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	2b	_
l_postCG	0.875938507472	-0.577224405313	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	0b	_
l_MFG	0.875938507472	0.213359335537	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	0b	_
l_Prec	0.875938507472	-0.480897220913	[[16  1]
 [ 2 17]]	9.42667005249e-08	0.875938507472	2b	_
