---------This is individual one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
l_Prec__	0.472222222222	0.953761164805	_	_
r_Cd__	0.472222222222	-0.94175649098	_	_
l_SPL__	0.472222222222	-0.712415360658	_	_
l_Cd__	0.472222222222	0.633941882459	_	_
L_ACC1__	0.472222222222	-0.571730256113	_	_
vmPFC__	0.472222222222	-0.507791366085	_	_
r_preCG__	0.472222222222	0.490875618988	_	_
l_preCG__	0.472222222222	-0.399956587655	_	_
r_pMTG__	0.472222222222	-0.373511657099	_	_
r_SMA__	0.472222222222	-0.360018098023	_	_
l_MCC__	0.472222222222	0.301152584666	_	_
r_STG__	0.472222222222	0.267726886056	_	_
r_MFG__	0.472222222222	0.189405981171	_	_
r_MCC__	0.472222222222	0.170807692657	_	_
l_MFG__	0.472222222222	-0.109791339466	_	_
l_IPS__	0.472222222222	-0.105754300659	_	_
L_ACC2__	0.472222222222	0.0507708460015	_	_
l_MPFC__	0.472222222222	-0.0501741959966	_	_
l_SMA__	0.472222222222	0.0484177581224	_	_
r_Ins__	0.472222222222	-0.0453051931222	_	_
r_postCG__	0.472222222222	-0.0130977264015	_	_
l_postCG__	0.472222222222	-0.00988189688734	_	_
---------This is combined one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
l_Prec	0.7	0.663058772918	[[13  5]
 [ 5 13]]	0.00419969475051	0.7	_	_
r_Cd	0.7	-0.948852732406	[[13  5]
 [ 5 13]]	0.00419969475051	0.7	_	_
l_SPL	0.7	-0.457863511023	[[13  5]
 [ 5 13]]	0.00419969475051	0.7	_	_
l_Cd	0.7	0.151041693479	[[13  5]
 [ 5 13]]	0.00419969475051	0.7	_	_
L_ACC1	0.7	-0.230178618349	[[13  5]
 [ 5 13]]	0.00419969475051	0.7	_	_
vmPFC	0.7	-0.817130148491	[[13  5]
 [ 5 13]]	0.00419969475051	0.7	_	_
r_preCG	0.7	0.359268236813	[[13  5]
 [ 5 13]]	0.00419969475051	0.7	_	_
