---------This is individual one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
fpn_2b	0.583333333333	-1.69478493628	2b	networkFC
fpn_2b	0.583333333333	1.3224982887	2b	networkFC
fpn_0b	0.583333333333	1.31749498079	0b	networkFC
fpn_2b	0.583333333333	-1.0500581306	2b	networkFC
fpn_2b	0.583333333333	-0.832629897031	2b	networkFC
fpn_2b	0.583333333333	0.758090702415	2b	networkFC
fpn_2b	0.583333333333	-0.734504551283	2b	networkFC
fpn_0b	0.583333333333	-0.676735104415	0b	networkFC
fpn_2b	0.583333333333	0.654668524387	2b	networkFC
fpn_2b	0.583333333333	-0.626976302643	2b	networkFC
fpn_0b	0.583333333333	-0.61746765514	0b	networkFC
fpn_0b	0.583333333333	-0.545433871336	0b	networkFC
fpn_2b	0.583333333333	-0.478894256772	2b	networkFC
fpn_2b	0.583333333333	0.46886451107	2b	networkFC
fpn_0b	0.583333333333	0.462135371329	0b	networkFC
fpn_0b	0.583333333333	-0.436496001962	0b	networkFC
fpn_0b	0.583333333333	0.378764496668	0b	networkFC
fpn_2b	0.583333333333	-0.322102133792	2b	networkFC
fpn_0b	0.583333333333	-0.312998720679	0b	networkFC
fpn_0b	0.583333333333	-0.312004838154	0b	networkFC
fpn_2b	0.583333333333	0.284174821653	2b	networkFC
fpn_2b	0.583333333333	0.282915040656	2b	networkFC
fpn_0b	0.583333333333	-0.263254675221	0b	networkFC
fpn_0b	0.583333333333	0.252118031376	0b	networkFC
fpn_2b	0.583333333333	-0.237947834148	2b	networkFC
fpn_0b	0.583333333333	0.23615023187	0b	networkFC
fpn_0b	0.583333333333	-0.230558919437	0b	networkFC
fpn_0b	0.583333333333	-0.2160412147	0b	networkFC
fpn_2b	0.583333333333	-0.183613430565	2b	networkFC
fpn_2b	0.583333333333	0.182663163539	2b	networkFC
fpn_2b	0.583333333333	-0.116216210059	2b	networkFC
fpn_2b	0.583333333333	-0.106266564754	2b	networkFC
fpn_0b	0.583333333333	0.105564219945	0b	networkFC
fpn_0b	0.583333333333	-0.058956556224	0b	networkFC
fpn_0b	0.583333333333	-0.0464813856907	0b	networkFC
fpn_0b	0.583333333333	-1.08019397176e-05	0b	networkFC
---------This is combined one:-------------
ROI	Accuracy	weight	Condition	Brain_Metrics
fpn	0.853534094296	-1.61868764532	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	2b	networkFC
fpn	0.853534094296	1.46605348797	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	2b	networkFC
fpn	0.853534094296	1.23373043923	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	0b	networkFC
fpn	0.853534094296	-1.19396905818	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	2b	networkFC
fpn	0.853534094296	-0.927828284238	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	2b	networkFC
fpn	0.853534094296	0.705880516486	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	2b	networkFC
fpn	0.853534094296	-0.616964336949	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	2b	networkFC
fpn	0.853534094296	-0.662758299861	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	0b	networkFC
fpn	0.853534094296	0.633737349956	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	2b	networkFC
fpn	0.853534094296	-0.468949127424	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	2b	networkFC
fpn	0.853534094296	-0.683016461123	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	0b	networkFC
fpn	0.853534094296	-0.776041379499	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	0b	networkFC
fpn	0.853534094296	-0.192525213112	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	2b	networkFC
fpn	0.853534094296	0.50577480244	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	2b	networkFC
fpn	0.853534094296	0.26753702593	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	0b	networkFC
fpn	0.853534094296	-0.785171930789	[[17  3]
 [ 1 15]]	6.26574305759e-07	0.853534094296	0b	networkFC
